Source,Company,Job ID,Title,Location,URL,Score,First Seen,Last Seen
greenhouse,Maze Therapeutics,8318915002,"Senior Scientist I, Computational Biology	","South San Francisco, CA",http://www.mazetx.com/careers/?gh_jid=8318915002,20,2025-12-23T11:14:16+00:00,2025-12-23T11:14:16+00:00
greenhouse,Lila,4087170009,"Research Scientist, Dexterous Manipulation & Robot Learning ","Cambridge, MA USA",https://job-boards.greenhouse.io/lilasciences/jobs/4087170009,18,2025-12-23T11:14:12+00:00,2025-12-23T11:14:12+00:00
greenhouse,Generate,4627576006,"Senior Software Engineer I, Cloud and DevOps","Somerville, MA",https://generatebiomedicines.com/open-positions?gh_jid=4627576006,15,2025-12-23T11:14:13+00:00,2025-12-23T11:14:13+00:00
greenhouse,Beacon Biosignals,4088173009,Senior Product Designer,"Boston, MA - Remote",https://job-boards.greenhouse.io/beaconbiosignals/jobs/4088173009,13,2025-12-23T11:15:39+00:00,2025-12-23T11:15:39+00:00
workday,Sanofi,/job/Framingham-MA/Principal-Scientist_R2820724,Purification Applications Leader,"Framingham, MA",https://sanofi.wd3.myworkdayjobs.com/job/Framingham-MA/Principal-Scientist_R2820724,10,2025-12-20T02:42:51+00:00,2025-12-20T02:42:51+00:00
smartrecruiters,Lawrence Livermore National Laboratory,3743990010833751,Maintenance Mechanic Shop Supervisor,"Livermore, us",https://api.smartrecruiters.com/v1/companies/LLNL/postings/3743990010833751,5,2025-12-23T11:15:35+00:00,2025-12-23T11:15:35+00:00
workday,Labcorp,/job/Raritan-NJ/Clinical-Laboratory-Technologist-Trainee---Immunology_2541897,Clinical Laboratory Technologist Trainee – Immunology,Raritan NJ,https://labcorp.wd1.myworkdayjobs.com/job/Raritan-NJ/Clinical-Laboratory-Technologist-Trainee---Immunology_2541897,5,2025-12-20T02:43:16+00:00,2025-12-20T02:43:16+00:00
lever,Delfi Diagnostics,778f41c4-1919-4e6c-a95f-bb5ab296b279,"Vice President, Clinical Development and Trial Innovation","Palo Alto, CA",https://jobs.lever.co/delfidiagnostics/778f41c4-1919-4e6c-a95f-bb5ab296b279,4,2025-12-23T11:15:35+00:00,2025-12-23T11:15:35+00:00
greenhouse,Calico Labs,8350561002,"Executive Assistant, Research","South San Francisco, CA",https://www.calicolabs.com/careers/?gh_jid=8350561002,4,2025-12-23T11:15:34+00:00,2025-12-23T11:15:34+00:00
workday,NVIDIA,/job/US-CA-Santa-Clara/Senior-Compiler-Engineer---CUDA_JR1997426,Senior Compiler Engineer - CUDA,3 Locations,https://nvidia.wd5.myworkdayjobs.com/job/US-CA-Santa-Clara/Senior-Compiler-Engineer---CUDA_JR1997426,3,2025-12-20T02:41:20+00:00,2025-12-20T02:41:20+00:00
workday,NVIDIA,/job/US-CA-Santa-Clara/Senior-Compiler-Engineer---Compute_JR2000930,Senior Compiler Engineer - Compute,3 Locations,https://nvidia.wd5.myworkdayjobs.com/job/US-CA-Santa-Clara/Senior-Compiler-Engineer---Compute_JR2000930,3,2025-12-20T02:41:20+00:00,2025-12-20T02:41:20+00:00
